%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
67.4 16176 69.9495949999999 10756.4 5419.6 19.018405 28.8483859178973 
116.3 27912 102.8675 11702 16210 50.6485 31.3182363777674 
141 33840 114.769839999999 12100.8 21739.2 71.35016 14.7722361347004 
151.4 36336 119.356644999999 12312.4 24023.6 80.491355 8.54701372121015 
159.4 38256 122.388424999999 12481.5 25774.5 88.019575 6.01528616884215 
161.9 38856 123.743719999999 12519.4 26336.6 89.96428 5.04298942346343 
166 39840 126.028469999999 12572.4 27267.6 93.09153 4.42929735271294 
166.6 39984 126.460634999999 12592.7 27391.3 93.451365 3.98023790928821 
169.9 40776 128.264784999999 12644.7 28131.3 96.003215 3.50998877779139 
171.8 41232 129.229004999999 12641.1 28590.9 97.546995 3.2725419864055 
173.1 41544 130.092544999999 12668.9 28875.1 98.399455 3.0001933222464 
174.1 41784 130.557144999999 12672.4 29111.6 99.2548549999999 2.74785145897042 
