%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
39.9 6846.4 33.355345 5559.3 1287.1 4.299855 6.64400616183866 
78 12642.6 57.63101 9030.3 3612.3 11.90329 8.90240759311207 
115.6 17741.8 73.7756999999999 10451.3 7290.5 23.8042 7.44991409335744 
147.7 22622.6 88.1094899999999 11679.9 10942.7 36.31481 11.1835513306122 
162.9 25248.8 93.662505 11961.4 13287.4 45.205895 9.11222445619589 
183.4 28631.4 101.307045 12089.8 16541.6 56.165655 9.50180216895927 
192.6 31325.2 107.99899 12326 18999.2 64.28961 13.6021474303751 
203.2 32997 112.068945 12326.9 20670.1 69.414555 7.90675041971153 
204.8 34555.8 116.12178 12474.4 22081.4 73.93512 4.46009090466663 
196.9 36820.4 121.5432 12483.4 24337 80.969 4.6562280357037 
206 37290 122.269425 12467.5 24822.5 82.825575 3.5371732392153 
207.6 38231 124.83599 12486.8 25744.2 85.43451 3.3220741226062 
