%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
70 5396.8 26.139595 4435.2 961.6 3.542805 7.5481955868723 
139.1 10868.8 49.013555 7746.9 3121.9 10.764845 16.5955146237726 
203 14488 63.8648750000001 9832.5 4655.5 15.819125 27.5456835685895 
265.1 18430.4 77.9520950000002 11097.3 7333.1 23.415105 52.9120828914954 
313.7 19837.6 82.1981350000003 11495.8 8341.8 26.908665 72.6857891260129 
361.2 23736.8 91.9259800000002 11704.9 12031.9 38.6264200000001 50.6998936341398 
405.8 25354.4 96.1347400000001 11761.7 13592.7 43.3144600000001 41.884763547445 
452.3 27590.4 102.215655 11734.5 15855.9 49.5315450000001 39.8329644604591 
491.8 29720 107.64487 11796.4 17923.6 55.8151300000001 36.6762262830399 
521.1 31621.6 112.274175 11889.1 19732.5 61.6446250000001 34.4243149811747 
560.2 33356 116.238924999999 12057.5 21298.5 67.2190750000001 30.5510276505073 
572.6 33296 116.040314999999 12040.3 21255.7 67.0876850000001 28.5326313366288 
