%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
38.5 9212.5 46.30495 8034 1178.5 4.3638 17.7940389210228 
49 12550 57.07985 9164.5 3385.5 11.94515 35.2541129412185 
57 12778.5 58.867025 9424 3354.5 11.414725 26.3164893631697 
67 16035.5 69.4986 10617.5 5418 18.69665 40.1907869530242 
73.5 17788 74.192375 10658 7130 23.641625 32.4529668167178 
84 19941.5 80.07175 10926.5 9015 29.6065 48.5830048126627 
88.5 24410.5 93.1695 11658 12752.5 41.08825 50.2874167322457 
103 22224 87.1158 11467.5 10756.5 35.1162 35.0848619221986 
107.5 24541.5 93.469825 11840.5 12701 41.508425 61.7588144938503 
114 25948 96.23855 11666.5 14281.5 46.47545 42.3445974824922 
130.5 26123.5 97.8933 11894.5 14229 45.78595 46.673560607139 
128 28463.5 103.842925 12114.5 16349 52.706325 33.8416772967101 
