%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 13.034485 1570.3 1871.3 5.894315 2.65124134908623 
36.6 8385.7 32.211335 4065.4 4320.3 13.910015 0.660726759390331 
51.5 12059.2 44.987325 5496.7 6562.5 21.338275 1.31114787554296 
78.7 18036.2 64.266965 7387 10649.2 34.932135 0.927332292083112 
94.3 21113.7 73.573435 8104.4 13009.3 42.551915 0.963485434852735 
112.4 25861.3 88.18105 9522.8 16338.5 54.0561 1.09896636405162 
125.7 30290.1 99.738795 10571.5 19718.6 66.856755 1.47630832848708 
153.6 35759.1 114.727065 11542.9 24216.2 81.947985 1.88385502294902 
158.5 36947 117.971425 11880.5 25066.5 85.237075 2.13934899041771 
175.2 42220.9 130.735635 12557.1 29663.8 101.479315 2.23577968301134 
182.2 41971.5 129.91662 12447.9 29523.6 100.92663 2.00547796898728 
189.2 43226.3 132.721795 12486.2 30740.1 105.022855 1.95431344298825 
