%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
40 6872.8 25.649695 3174.2 3698.6 12.150705 0.359647505220115 
79.6 13254.6 48.64096 5973.3 7281.3 24.25934 0.299740740605861 
119.2 19184 65.8653999999999 7563 11621 39.6466 0.342200218703557 
157.7 25363.8 82.8512999999999 8863.8 16500 56.6496 0.396131204918876 
181.8 28685 92.1331549999999 9553.6 19131.4 65.634345 0.781092173650493 
202.2 32297.2 102.978305 10379.8 21917.4 74.656295 1.07938807808483 
213.3 35318 111.136775 10799.5 24518.5 83.1122250000001 0.667370533117471 
229.7 37638.4 116.955465 11180.2 26458.2 90.0557350000001 0.8954625302141 
229.9 39595.2 123.61835 11767.2 27828 94.15525 0.644733886209628 
225 42774 132.360325 12310.5 30463.5 102.896675 0.547908527220581 
230.5 43164.8 133.288295 12391.2 30773.6 104.118105 0.514494054123066 
227.7 43715.6 134.855885 12523.3 31192.3 105.579915 0.513021679108756 
