%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
38.5 9212.5 34.315175 4436 4776.5 16.353575 1.01728936705416 
49 12550 48.107775 6513 6037 20.917225 0.766852936590203 
57.5 12948.5 45.55195 5357.5 7591 25.6648 0.670550757091946 
68 16401.5 57.128175 6605 9796.5 33.080075 0.880451845465565 
75.5 19055 65.396525 7623 11432 39.405975 0.829263403372987 
88 20871 72.1402 8517.5 12353.5 42.6503 1.0907956716751 
95 26611.5 89.008925 10037.5 16574 57.354325 1.22405792101842 
106.5 22984 78.2842 9485.5 13498.5 48.1278 0.97950998737517 
115 28216.5 92.42175 10001.5 18215 62.769 1.09782167151626 
124.5 28933 95.77415 10556 18377 63.35735 1.16081373573857 
134.5 27238 87.7615250000001 9296 17942 62.047475 1.16505213446906 
140.5 33448 105.8062 10612 22836 78.1578 1.24339229545043 
