%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
67.6 16224 69.1208249999999 10772 5452 20.111175 26.3570089401144 
117.4 28176 102.69858 11833.6 16342.4 52.26942 29.94512688869 
154 36960 120.568174999999 12336.5 24623.5 82.711825 13.1775349136095 
166.2 39888 125.765439999999 12499.8 27388.2 93.61856 7.67512234974701 
171.1 41064 128.316099999999 12590 28474 97.5359 5.83700223740521 
172.3 41352 128.993739999999 12607.8 28744.2 98.4422599999999 5.00347408628646 
173.2 41568 129.761039999999 12641.3 28926.7 98.86296 4.31031554751734 
173.9 41736 130.156679999999 12655.6 29080.4 99.39132 3.92736634084998 
175.3 42072 131.082359999999 12674.2 29397.8 100.31364 3.50425919841456 
175.4 42096 131.164974999999 12675.5 29420.5 100.363025 3.22621043092339 
176.6 42384 131.800299999999 12685 29699 101.3117 3.05061498707509 
176.6 42384 131.808629999999 12687.6 29696.4 101.30337 2.6831083418477 
