%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 18.093 3225.1 216.5 0.8358 20.3286925717207 
36.5 8307.8 41.065165 7148.6 1159.2 4.627735 25.0755749558597 
50.8 11783.7 55.15623 9083.8 2699.9 9.65412 40.9689251731281 
76.3 17043.9 70.988055 10309.5 6734.4 22.753395 50.8322284762927 
90 19659 78.92239 10815.3 8843.7 29.20211 55.6942076544771 
101 21808.7 85.028 11162.7 10646 34.91985 60.2805485959046 
109.3 24279.2 91.46588 11476.8 12802.4 42.06972 66.392802690442 
126.4 26829.1 97.961025 11616.1 15213 49.599025 62.310897299922 
128.6 27274 99.175345 11646.9 15627.1 50.831655 78.7003664911657 
141.4 29929.7 105.685355 11888.3 18041.4 58.927995 75.1919551195364 
147.9 30361.4 106.70608 11956.5 18404.9 60.28162 64.3839762151094 
157.3 31380.8 108.99177 12007.7 19373.1 63.60263 50.4148462581126 
