%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
70 5396.8 25.8947 4445.8 951 3.7877 8.84063797949357 
138.8 10920 48.16476 7758.2 3161.8 11.89524 16.3109379824874 
200.8 14500.8 62.9878950000001 9857.2 4643.6 16.766505 23.0460099307489 
263 18731.2 77.6858700000002 11123.1 7608.1 25.33573 53.8246483383291 
312.9 20090.4 81.8971250000003 11468.4 8622 28.6000750000001 69.3075820402011 
358.8 24138.4 91.9430100000001 11603.6 12534.8 40.8181900000001 51.6291102276428 
390.9 25639.2 95.9862100000001 11680.4 13958.8 45.0293900000001 41.2118988048193 
443.2 27587.2 101.27773 11644.8 15942.4 50.4518700000001 38.1514810400399 
481 29691.2 106.558165 11783.5 17907.7 56.7434350000001 36.0718074210123 
520.5 31583.2 111.389085 11857.9 19725.3 62.3185150000001 34.4780274624735 
554 33116 114.961065 12058.3 21057.7 67.1769350000001 30.3134454747402 
577.8 33142.4 114.895739999999 12030.2 21112.2 67.38746 29.8466463602133 
