%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
38.5 9212.5 46.220775 8023 1189.5 4.447975 20.3425594275437 
49 12550 56.668425 9051 3499 12.356575 29.4395315784298 
57.5 12948.5 59.93275 9623.5 3325 11.284 26.5063844819133 
67 16035.5 68.927225 10470 5565.5 19.268025 37.0108782814579 
74.5 18415 75.6527 10774 7641 25.6298 31.2089992905211 
83 20107 80.78355 11228 8879 29.80495 38.5218098254599 
90 24729 93.85445 11663 13066 42.15505 48.3493608896725 
104 22267 88.0348 11693 10574 34.4337 37.5232082468933 
110.5 25284 96.199425 12027.5 13256.5 42.862575 61.9322803603475 
116.5 26256.5 96.9313250000001 11725.5 14531 47.479425 38.6352473234993 
132 26332 99.01975 12009.5 14322.5 45.80625 40.2610206761932 
130 29847.5 106.7567 12176.5 17671 57.40455 34.7396000764105 
