%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 16.8643425 2791.45 650.15 2.0644575 29.4962437526944 
36.55 8346.75 37.8769 5895.5 2451.25 8.030225 38.0128576254299 
50.95 11840.45 50.31786 7266.65 4573.8 14.804615 42.2495544893394 
77.2 17440.9 68.376835 9188.85 8252.05 27.548115 47.1201241261777 
91.75 20231.95 76.3002425 9613.3 10618.65 34.9754825 51.2611651586954 
106.75 23920.6 86.7724875 10459.85 13460.75 44.7908125 50.8152498159492 
116.6 27099.5 95.667035 11102.7 15996.8 53.380215 55.1155564592033 
137.8 30810.2 105.6689675 11701.3 19108.9 63.7871325 57.6062863781099 
142 31814.55 108.4366075 11829.95 19984.6 66.5434175 64.4476184071722 
156.75 35138.4 116.43753 12237.25 22901.15 76.82367 68.178591536647 
164.65 35766.75 117.8159425 12291.35 23475.4 78.9011825 53.9743622107902 
171.8 36314.25 119.0327775 12288.8 24025.45 80.6955975 50.2304397779965 
