%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
39.95 6859.6 31.71494 5076.65 1782.95 6.01286 8.23100985357854 
78.35 12774.3 55.0771199999999 8220.45 4553.85 15.18153 12.5468978592146 
116.3 18054.3 70.09122 9457.7 8596.6 29.20743 10.7136864416927 
150.75 23237.1 85.8876999999999 10902.1 12335 41.91635 9.69152278724871 
172.95 26518.1 92.963535 10959.3 15558.8 52.886015 10.4762372592597 
190.9 29835.6 101.924915 11595.15 18240.45 62.170885 10.4696637650759 
196 32172.8 107.33015 11904.3 20268.5 69.62025 9.60377231239072 
211.05 34415.7 113.3420725 12094.15 22321.55 75.9442775 7.20989871966051 
211.6 36013.8 117.2658175 12320.9 23692.9 80.8100825 4.0111796348415 
208.25 38969.4 124.52716 12491.6 26477.8 89.80454 4.26134081900277 
218.2 39625.7 125.9433425 12520.05 27105.65 91.9980075 3.38042267278043 
214.5 40116.8 126.915375 12521.8 27595 93.727025 3.14686428615492 
