%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
38.5 9212.5 43.6096875 7080 2132.5 7.0590625 29.910902137276 
49 12550 54.1604125 8073.25 4476.75 14.8645875 43.8314903326472 
57.25 12863.5 52.822075 7183.75 5679.75 17.927175 38.1960250645004 
67.5 16049.75 61.8933375 7917.75 8132 26.3802875 36.8903340377358 
73.75 18177.5 68.2631875 8565 9612.5 31.7130625 32.1532571137421 
85.75 20498.75 74.2677125 8933 11565.75 38.4754125 40.6583667169486 
92.25 25488.5 91.36945 10868.75 14619.75 48.8173 56.2640724615273 
103.75 22215 81.2157 9884 12331 40.9668 34.6260166460416 
113.25 26617.75 93.85405 10547.5 16070.25 52.543575 59.96500500299 
120.75 28124.5 97.036775 10713.75 17410.75 57.647975 42.5904600804377 
131.5 26598.25 91.5553625 10131.75 16466.5 54.7350125 36.5860351994394 
133.75 31140 104.915075 11306.5 19833.5 66.354925 37.7411237619571 
