%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 18.131185 3224.8 216.8 0.797615 19.8792792361077 
36.6 8385.7 37.17563 5622.3 2763.4 8.94572 28.5944847027676 
51.1 11899.1 49.176875 6890.1 5009 16.268175 39.6746173234054 
77.4 17527.1 68.015835 8964.8 8562.3 28.383215 42.7183462195293 
92.4 20422.7 76.377435 9393.4 11029.3 35.947415 44.0933339813612 
106.4 23952 86.647145 10351.9 13600.1 45.088855 50.9955276630708 
118.8 27505.8 96.99557 11173.7 16332.1 54.28633 54.7067553316538 
140 31455.6 107.566895 11770 19685.6 65.438905 55.5288376679226 
142.5 31960.5 108.03836 11669.7 20290.8 67.74439 59.5830299075685 
158.4 35552.1 117.52211 12257.8 23294.3 78.01444 63.4404236902134 
164.3 35792.3 118.37519 12253.6 23538.7 78.48246 51.5432711254175 
173 36562.1 119.47015 12250.6 24311.5 81.6214 48.5616391624157 
