%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
39.9 6846.4 33.355345 5559.3 1287.1 4.299855 9.8120874271278 
78.4 12716.4 54.45403 8199 4517.4 15.48617 9.13307512232139 
116.1 17983.4 68.9298699999999 9264.3 8719.1 29.97883 11.3015157068066 
150.4 23270 85.2774049999999 10647.1 12622.9 42.707595 8.53658566865981 
173.9 26634.6 92.861165 10836.4 15798.2 53.629135 12.0937141101536 
189.8 29899.6 101.861185 11484.3 18415.3 62.586615 9.61664002120602 
197.7 32368.2 107.609125 11812.2 20556 70.415975 9.89562417419213 
208.3 34266.6 112.627775 12102.6 22164 75.838525 7.34887281259198 
210.9 36061 117.180965 12268.3 23792.7 81.154535 3.74497930695905 
210.4 39231.4 124.916865 12512.7 26718.7 90.855835 4.26057687946507 
220.3 39797.8 126.24038 12538.4 27259.4 92.64752 3.36983489064235 
216.2 40243.4 127.196365 12505.7 27737.7 94.142335 3.14723432367928 
