%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
70 5396.8 26.139595 4435.2 961.6 3.542805 18.670426906109 
139 10859.2 44.2231899999999 6280.5 4578.7 15.50241 24.0442360838735 
202.3 14742.4 57.202245 7747.3 6995.1 23.880955 24.5344493416767 
267.8 19086.4 72.1692450000002 9353.8 9732.6 32.805955 41.6377671843356 
327.6 21101.6 80.0103750000003 10429.1 10672.5 36.048425 54.2057670258013 
372.7 27072.8 96.06692 11079.2 15993.6 52.83348 44.908466540536 
420.9 28637.6 100.75899 11496.4 17141.2 56.74781 32.297218468222 
468.7 30867.2 106.675485 11867.4 18999.8 63.094115 37.4968087404236 
500.4 33041.6 111.98521 12103.8 20937.8 69.74359 31.5377704955417 
553.6 35019.2 116.958805 12147.8 22871.4 75.646795 30.1818258866747 
568.2 35256.8 117.45091 12225.5 23031.3 76.46149 28.6717129550185 
606.6 36492.8 121.241149999999 12299.8 24193 79.46925 30.4639672859358 
