%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
38.5 9212.5 46.30495 8034 1178.5 4.3638 32.6253911982908 
49 12550 54.6827 8234 4316 14.3423 34.2195914818837 
57.5 12948.5 51.537125 6681 6267.5 19.679625 37.5325232980867 
67.5 16049 60.94325 7596.5 8452.5 27.32625 36.6640608457682 
74.5 18299 68.1897 8285.5 10013.5 32.4548 29.8448540602352 
85 20408.5 73.600275 8771.5 11637 38.646475 35.6281646657466 
92.5 25787 93.0441 10891.5 14895.5 48.7844 57.2879500828828 
105 22452 81.3264 9647.5 12804.5 42.1596 31.7655435022372 
112 26383 92.56345 10622 15761 52.54305 51.0730136385691 
121 28068.5 96.792475 10613 17455.5 57.584275 41.0765686303696 
132 26723.5 93.8433000000001 10667 16056.5 53.13595 38.3943643892983 
134 31127.5 105.114775 11183 19944.5 66.086475 39.8531337964092 
