%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
68.6 16464 68.8653349999999 10384.7 6079.3 21.686665 14.2162325599852 
123 29520 102.28285 12219 17301 60.07715 19.3601882812408 
156.3 37512 121.889419999999 12519.4 24992.6 84.42658 10.3074003153691 
164.6 39504 125.432419999999 12559.4 26944.6 91.83958 6.00982283649742 
171.9 41256 128.602904999999 12635.1 28620.9 98.305095 4.54959302513386 
174.1 41784 129.725194999999 12651.9 29132.1 100.086805 3.50364672251216 
175.6 42144 130.675669999999 12636.4 29507.6 101.11633 3.14094533969787 
177 42480 130.918604999999 12643.1 29836.9 102.721395 2.87489271621427 
178.3 42792 132.019619999999 12663.4 30128.6 103.33638 2.42453486291399 
178.5 42840 132.140329999999 12647.6 30192.4 103.47967 2.29577724114273 
179.9 43176 133.340374999999 12663.5 30512.5 104.127625 2.12280579110605 
180.8 43392 133.527094999999 12667.9 30724.1 105.128905 1.90879139712406 
