%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 16.436905 2683.7 757.9 2.491895 11.6343351229811 
36.6 8385.7 38.259965 6103 2282.7 7.861385 14.4847431399756 
51.1 11876.2 52.693795 8297.1 3579.1 12.625305 22.929124417997 
77.8 17617 71.04488 10164.1 7452.9 25.84862 24.1301403448006 
93 20592.3 79.527345 10742.7 9849.6 33.730305 35.6241572818364 
106.6 23814.7 89.033945 11442.6 12372.1 41.946905 30.669430551946 
116.7 27042.9 96.42117 11767.8 15275.1 52.31478 33.3487993987006 
136.4 30148.1 104.382235 12070.3 18077.8 61.432315 37.4184293238784 
138.1 30357.7 105.18171 12225.9 18131.8 61.78564 49.2200943472358 
154.5 34210.4 114.17476 12409.6 21800.8 73.98244 47.0462951793441 
158.6 34062.9 113.81466 12358.1 21704.8 73.53129 41.0488715943572 
169.2 35680.8 117.401615 12427.1 23253.7 78.842785 38.1901163641639 
