%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
38.5 9212.5 42.4189 6838 2374.5 8.24985 8.27632893200427 
49 12550 55.421375 8915 3635 13.603625 17.9729894816369 
57.5 12948.5 56.65325 8843.5 4105 14.5635 15.7624811829194 
67 16254.5 66.785025 10025 6229.5 22.614725 17.4865180811163 
74.5 18415 73.01265 10483 7932 28.26985 19.737222180103 
86.5 20520.5 77.049175 10571.5 9949 35.813575 15.6203242384892 
92.5 25732.5 92.46855 11846 13886.5 49.0602 26.2841384963617 
104.5 22470 85.3909 11790.5 10679.5 38.1941 20.586097603618 
112 26256.5 94.9449 12109.5 14147 49.46585 28.9583020887857 
120.5 27941 97.68565 12001.5 15939.5 55.98985 21.3967119492215 
132 26711.5 95.9173750000001 12279 14432.5 50.995875 18.2553763442132 
134 30879 105.949175 12475 18404 63.885325 19.8581020243598 
