%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 15.762455 2455.2 986.4 3.166345 407.657384003095 
36.6 8385.7 36.842325 5545.2 2840.5 9.279025 395.418099712784 
51.2 11917.5 51.439745 7704.9 4212.6 14.106505 453.296477982822 
78 17728.7 70.96196 10119.9 7608.8 26.54589 379.591910307529 
93.4 20681.5 79.361975 10518.5 10163 34.386275 380.549623765741 
107.6 24294.8 89.51293 11408.4 12886.4 44.10847 394.181924491718 
118.2 27310.7 96.514685 11800.9 15509.8 53.694165 404.897902000013 
139.4 31201.6 106.315705 12137.7 19063.9 65.293095 395.510436234273 
140.8 31206.8 106.4107 12220.3 18986.5 65.2267 433.364204017787 
156.8 35387.3 116.338685 12467 22920.3 78.291465 439.573555268951 
164 36014.8 117.335735 12459 23555.8 80.745665 398.541549109734 
175.1 37226.5 120.397675 12450.5 24776 84.348075 385.02667176544 
