%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
20 4503.5 20.72724 3323.3 1180.2 4.04201 436.970949109211 
40 9163.4 41.144665 6372.7 2790.7 9.254035 568.188589275976 
60 13188.3 55.28359 8041.1 5147.2 17.25206 542.445131815298 
79.5 18245.4 71.81546 9820.1 8425.3 28.53424 554.705503377392 
98.4 21658.8 83.71887 11322.2 10336.6 35.40453 564.513235604252 
115.7 25762.4 93.26636 11697.1 14065.3 48.42684 598.459967968063 
131.1 28602.1 100.271665 11957.9 16644.2 57.039885 605.264322607091 
142.4 32294.7 109.687005 12305.8 19988.9 67.933845 606.40242787103 
160.9 34172.4 113.47177 12389.8 21782.6 74.47643 687.604615206404 
162.8 36698 118.804965 12472.3 24225.7 83.034035 642.02154789545 
170.9 37835.6 122.128555 12464.7 25370.9 85.967245 351.994958917013 
180.4 38571.2 123.22347 12598.1 25973.1 88.91813 319.286282658623 
