%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
11 5497.66666666667 23.4941833333333 3328 2169.66666666667 6.74298333333333 561.942724331315 
18.3333333333333 9356.33333333333 40.2059333333333 5810 3546.33333333333 11.2539 578.526602219486 
24.3333333333333 13490.3333333333 53.6803 7478 6012.33333333333 20.5165333333333 617.120798665938 
35 15518 58.3402 7717 7801 27.0088 554.726136456575 
41.6666666666667 21339.6666666667 78.2890333333333 9957 11382.6666666667 39.0791333333333 581.329032749784 
50 22512.6666666667 85.26495 11373.3333333333 11139.3333333333 38.5547166666667 573.574085702411 
58.6666666666667 23935 87.36855 11217.6666666667 12717.3333333333 44.27395 556.008965200573 
68 31042.6666666667 104.261033333333 11495 19547.6666666667 66.4736333333333 557.645730530835 
71 32231.6666666667 108.963033333333 12359 19872.6666666667 68.3111333333333 553.346637854466 
71.6666666666667 32177 106.47615 11428.3333333333 20748.6666666667 70.49735 548.443941744351 
78 36504 117.3768 12375 24129 83.3952 599.565292945068 
85.3333333333333 35965 117.551216666667 12389.3333333333 23575.6666666667 80.2562833333333 557.789310111662 
86.3333333333333 38132.6666666667 121.5208 12083.6666666667 26049 88.2088666666667 547.227851514531 
93 37538 121.20565 12332.6666666667 25205.3333333333 85.25335 550.251732429545 
92.6666666666667 39917.6666666667 126.430483333333 12570.6666666667 27347 93.1166833333334 542.546455773131 
