%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
10 4031 17.2091333333333 2527 1504 4.96136666666667 534.111983328295 
20 8037.33333333333 32.47765 4420.33333333333 3617 11.7276833333333 541.176699739261 
30 13741 55.1418 7950.33333333333 5790.66666666667 20.4337 575.611474421516 
39.6666666666667 18509 72.4534 9602 8907 29.3461 577.82334009926 
48.6666666666667 23457 84.9496666666667 10568.6666666667 12888.3333333333 44.0638333333333 565.307687477493 
57.6666666666667 25332.6666666667 88.1107833333333 10340 14992.6666666667 51.2188833333333 585.296907165905 
62 28535 98.55375 11640 16895 58.38875 554.782012416724 
69.6666666666667 31013.6666666667 105.87685 11945.6666666667 19068 64.6983166666667 558.953109286338 
74 32635.6666666667 108.2483 11836.6666666667 20799 71.2478666666667 557.31894663611 
73.3333333333333 34838.3333333333 113.147133333333 12176 22662.3333333333 78.4637 555.799214287221 
84.3333333333333 37189 119.9998 12540 24649 84.5397 618.633005753533 
82.6666666666667 36600 117.857666666667 12028.3333333333 24571.6666666667 83.4423333333333 554.037709681494 
86 39211.6666666667 125.10785 12600.3333333333 26611.3333333333 90.5563166666667 545.570044989518 
88 38818.3333333333 123.510933333333 12557 26261.3333333333 89.9899 546.231328569643 
86 39735 125.87615 12629.6666666667 27105.3333333333 92.66635 534.357120830608 
