%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
16.8 3441.6 15.900915 2481.4 960.2 3.027885 847.874172661739 
36.6 8385.7 36.895175 5660.7 2725 9.226175 789.418912845151 
51.4 12009.7 52.218795 7934.6 4075.1 13.834555 926.486026388345 
78.1 17797.4 71.415445 9968.3 7829.1 26.470255 728.192330661351 
93.4 20724.1 79.151145 10613 10111.1 34.831405 727.461429647406 
108.4 24507.6 90.071635 11599.8 12907.8 44.720165 736.030722702733 
117.9 27149.9 96.941805 11973.5 15176.4 52.382645 772.862801050491 
138.5 31018.8 105.81385 12158.8 18860 64.78955 755.328804459599 
141.6 31525.7 107.14454 12296.5 19229.2 66.24681 834.996006031212 
159.7 35755.7 116.630145 12544.1 23211.6 80.026205 825.925706105737 
163.1 35647.7 116.85273 12403.8 23243.9 79.20962 762.819334330317 
175.9 37294.6 120.63709 12493.9 24800.7 84.48321 715.916974365066 
