%ScheduledJobNum workload ScheduledRevenue UsedGreenEnergy UsedBrownEnergy UsedBrownEnergyCost RunningTime
20 4503.5 20.92513 3385.1 1118.4 3.84412 892.396641380791 
40 9163.4 41.648245 6503.3 2660.1 8.750455 1122.73271352979 
60 13188.3 54.70861 7840 5348.3 17.82704 1088.90992090674 
78.9 17929.7 70.763115 9804 8125.7 27.850235 1107.32913908732 
98.5 21700.2 83.132435 11137.9 10562.3 36.218665 1099.03928023156 
116.4 25821.3 94.02242 11787.2 14034.1 47.99473 1154.277843458 
131.3 28751.7 100.687835 11890.4 16861.3 57.446515 1141.33937081651 
142 32093.5 108.824985 12256.7 19836.8 67.689265 1167.0214233311 
159.2 33984.9 113.144195 12402.8 21582.1 73.772755 1305.06616891688 
162.9 36778.1 119.10191 12450.3 24327.8 83.17764 1061.42026540402 
170.6 37885.9 121.9424 12541.9 25344 86.43005 684.76532406431 
177.8 38232.7 122.478605 12526.8 25705.9 87.801245 626.87169600978 
